#tmax5dt0.001size17latspc8temp0.728
time,temp,KE,PE,total energy
0, 6.04963e-05, 160.598, -161.156, -0.557571
0.001, 0.000544256, 160.738, -161.295, -0.557571
0.002, 0.00151066, 161.017, -161.575, -0.557571
0.003, 0.00295746, 161.435, -161.993, -0.557572
0.004, 0.00488134, 161.991, -162.549, -0.557572
0.005, 0.00727787, 162.684, -163.242, -0.557572
0.006, 0.0101416, 163.512, -164.069, -0.557573
0.007, 0.013466, 164.473, -165.03, -0.557573
0.008, 0.0172437, 165.565, -166.122, -0.557574
0.009, 0.0214661, 166.785, -167.343, -0.557574
0.01, 0.0261241, 168.131, -168.689, -0.557575
0.011, 0.0312074, 169.601, -170.158, -0.557576
0.012, 0.0367052, 171.19, -171.747, -0.557576
0.013, 0.0426057, 172.895, -173.453, -0.557577
0.014, 0.0488968, 174.714, -175.271, -0.557578
0.015, 0.0555653, 176.641, -177.199, -0.557579
0.016, 0.0625981, 178.674, -179.231, -0.557579
0.017, 0.069981, 180.808, -181.365, -0.55758
0.018, 0.0776999, 183.039, -183.596, -0.557581
0.019, 0.08574, 185.363, -185.92, -0.557582
0.02, 0.0940867, 187.775, -188.333, -0.557583
0.021, 0.102725, 190.272, -190.829, -0.557584
0.022, 0.111639, 192.848, -193.406, -0.557585
0.023, 0.120814, 195.5, -196.058, -0.557586
0.024, 0.130235, 198.223, -198.78, -0.557587
0.025, 0.139886, 201.012, -201.57, -0.557588
0.026, 0.149752, 203.864, -204.421, -0.557589
0.027, 0.159819, 206.773, -207.331, -0.557589
0.028, 0.170071, 209.737, -210.294, -0.55759
0.029, 0.180495, 212.749, -213.307, -0.557591
0.03, 0.191076, 215.807, -216.365, -0.557592
0.031, 0.201799, 218.907, -219.464, -0.557593
0.032, 0.212652, 222.043, -222.601, -0.557594
0.033, 0.223622, 225.214, -225.771, -0.557594
0.034, 0.234695, 228.414, -228.972, -0.557595
0.035, 0.24586, 231.641, -232.199, -0.557596
0.036, 0.257104, 234.891, -235.448, -0.557596
0.037, 0.268417, 238.16, -238.718, -0.557597
0.038, 0.279787, 241.446, -242.004, -0.557598
0.039, 0.291204, 244.746, -245.304, -0.557598
0.04, 0.302658, 248.056, -248.614, -0.557599
0.041, 0.31414, 251.375, -251.932, -0.557599
0.042, 0.32564, 254.699, -255.256, -0.557599
0.043, 0.337151, 258.025, -258.583, -0.5576
0.044, 0.348665, 261.353, -261.911, -0.5576
0.045, 0.360173, 264.679, -265.237, -0.557601
0.046, 0.371669, 268.001, -268.559, -0.557601
